timestamp,state,x,y
1688627681968,0,-195.5713,124.9525,1
1688627681968,0,-195.5713,124.9525,2
1688627681988,0,-196.5419,124.7666,0
1688627681988,0,-196.5419,124.7666,1
1688627681988,0,-196.5419,124.7666,2
1688627682009,0,-197.3247,125.3284,0
1688627682009,0,-197.3247,125.3284,1
1688627682009,0,-197.3247,125.3284,2
1688627682032,0,-201.5009,128.8163,0
1688627682032,0,-201.5009,128.8163,1
1688627682032,0,-201.5009,128.8163,2
1688627682054,0,-220.71,146.2503,0
1688627682054,0,-220.71,146.2503,1
1688627682054,0,-220.71,146.2503,2
1688627682071,0,-223.6163,147.8553,0
1688627682071,0,-223.6163,147.8553,1
1688627682071,0,-223.6163,147.8553,2
1688627682092,0,-201.7584,128.7679,0
1688627682092,0,-201.7584,128.7679,1
1688627682092,0,-201.7584,128.7679,2
1688627682112,0,-207.7728,135.0378,0
1688627682112,0,-207.7728,135.0378,1
1688627682112,0,-207.7728,135.0378,2
1688627682136,0,-205.1593,112.2959,0
1688627682136,0,-205.1593,112.2959,1
1688627682136,0,-205.1593,112.2959,2
1688627682154,1,-98.59274,-15.13157,0
1688627682154,1,-98.59274,-15.13157,1
1688627682154,1,-98.59274,-15.13157,2
1688627682176,1,-113.0632,-24.14346,0
1688627682176,1,-113.0632,-24.14346,1
1688627682176,1,-113.0632,-24.14346,2
1688627682199,1,-114.621,-16.1499,0
1688627682199,1,-114.621,-16.1499,1
1688627682199,1,-114.621,-16.1499,2
1688627682220,1,-107.4136,-33.35934,0
1688627682220,1,-107.4136,-33.35934,1
1688627682220,1,-107.4136,-33.35934,2
1688627682238,1,-101.136,-39.93711,0
1688627682238,1,-101.136,-39.93711,1
1688627682238,1,-101.136,-39.93711,2
1688627682264,1,-98.66527,-45.23716,0
1688627682264,1,-98.66527,-45.23716,1
1688627682264,1,-98.66527,-45.23716,2
1688627682282,1,-88.04343,-15.43636,0
1688627682282,1,-88.04343,-15.43636,1
1688627682282,1,-88.04343,-15.43636,2
1688627682301,1,-75.69483,-51.59821,0
1688627682301,1,-75.69483,-51.59821,1
1688627682301,1,-75.69483,-51.59821,2
1688627682320,1,-75.75506,-51.54414,0
1688627682320,1,-75.75506,-51.54414,1
1688627682320,1,-75.75506,-51.54414,2
1688627682343,1,-75.66513,-51.47824,0
1688627682343,1,-75.66513,-51.47824,1
1688627682343,1,-75.66513,-51.47824,2
1688627682365,1,-88.90561,-67.62926,0
1688627682365,1,-88.90561,-67.62926,1
1688627682365,1,-88.90561,-67.62926,2
1688627682386,1,-52.94937,-44.34371,0
1688627682386,1,-52.94937,-44.34371,1
1688627682386,1,-52.94937,-44.34371,2
1688627682406,0,-38.27333,-57.94821,0
1688627682406,0,-38.27333,-57.94821,1
1688627682406,0,-38.27333,-57.94821,2
1688627682432,1,-47.7003,-43.90693,0
1688627682432,1,-47.7003,-43.90693,1
1688627682432,1,-47.7003,-43.90693,2
1688627682449,1,-33.55879,-28.7014,0
1688627682449,1,-33.55879,-28.7014,1
1688627682449,1,-33.55879,-28.7014,2
1688627682469,1,-37.2118,-24.25218,0
1688627682469,1,-37.2118,-24.25218,1
1688627682469,1,-37.2118,-24.25218,2
1688627682490,1,-57.6354,-29.5506,0
1688627682490,1,-57.6354,-29.5506,1
1688627682490,1,-57.6354,-29.5506,2
1688627682509,1,-50.83136,-34.53288,0
1688627682509,1,-50.83136,-34.53288,1
1688627682509,1,-50.83136,-34.53288,2
